Date,Open,High,Low,Close,Adj Close,Volume,GDP,Balance of trade ,Total Population,Total cases,Total deaths,People Vaccinated,Uncertainty index,MYR/USD,Unemployment rate,Inflation rate,Interest rate ,FTSE Bursa Malaysia KLCI,WTI Crude Oil,Brent Crude Oil
16-01-2019,10.18,10.22,10.06,10.22,9.671779,28200,342400000000,11514200000,31949777,0,0,0,0.1586798,0.243724,0.033,-0.005,0.0325,1673.079956,52.08,59.81
17-01-2019,10.1,10.22,10.1,10.14,9.596069,42600,342400000000,11514200000,31949777,0,0,0,0.1586798,0.243576,0.033,-0.005,0.0318,1682.969971,51.83,59.85
18-01-2019,10.2,10.36,10.12,10.14,9.596069,54900,342400000000,11514200000,31949777,0,0,0,0.1586798,0.243309,0.033,-0.005,0.0318,1692.219971,53.6,62.04
22-01-2019,10.2,10.24,10.1,10.16,9.614996,29500,342400000000,11514200000,31949777,0,0,0,0.1586798,0.242618,0.033,-0.005,0.0317,1702.119995,52.59,60.9
23-01-2019,10.16,10.18,10.06,10.14,9.596069,149500,342400000000,11514200000,31949777,0,0,0,0.1586798,0.241984,0.033,-0.005,0.0324,1688.140015,52.44,61.05
24-01-2019,10.18,10.18,10.04,10.12,9.577143,121500,342400000000,11514200000,31949777,0,0,0,0.1586798,0.241867,0.033,-0.005,0.0318,1693.589966,52.94,61.09
25-01-2019,10.18,10.24,10.08,10.1,9.558216,102200,342400000000,11514200000,31949777,0,0,0,0.1586798,0.241499,0.033,-0.005,0.0318,1701.030029,53.53,61.49
28-01-2019,10.2,10.2,9.96,10,9.46358,125500,342400000000,11514200000,31949777,0,0,0,0.1586798,0.242718,0.033,-0.005,0.0317,1697.5,51.79,59.71
29-01-2019,10.02,10.02,9.92,9.95,9.416261,143100,342400000000,11514200000,31949777,0,0,0,0.1586798,0.243457,0.033,-0.005,0.0324,1690.410034,53.07,60.98
30-01-2019,9.99,10,9.83,9.83,9.302698,53900,342400000000,11514200000,31949777,0,0,0,0.1586798,0.243784,0.033,-0.005,0.0316,1684.109985,54.18,61.89
31-01-2019,9.91,10,9.9,9.96,9.425725,444200,342400000000,11514200000,31949777,0,0,0,0.1586798,0.244618,0.033,-0.005,0.0325,1683.530029,53.84,62.46
04-02-2019,10.14,10.14,9.97,10.14,9.596069,36800,342400000000,11056400000,31949777,0,0,0,0.1586798,0.24432,0.033,0.002,0.0325,1683.609985,54.57,62.26
07-02-2019,10,10.02,9.95,10,9.46358,104000,342400000000,11056400000,31949777,0,0,0,0.1586798,0.244834,0.033,0.002,0.0325,1693.390015,52.68,61.01
08-02-2019,10,10.16,9.95,10.02,9.482507,75800,342400000000,11056400000,31949777,0,0,0,0.1586798,0.2457,0.033,0.002,0.0319,1686.52002,52.75,61.37
11-02-2019,10.02,10.24,10.02,10.06,9.520361,275800,342400000000,11056400000,31949777,0,0,0,0.1586798,0.245942,0.033,0.002,0.032,1688.560059,52.43,61.3
12-02-2019,10.24,10.24,9.91,10.02,9.482507,154600,342400000000,11056400000,31949777,0,0,0,0.1586798,0.2457,0.033,0.002,0.0325,1687.410034,53.14,62.58
13-02-2019,10.08,10.16,9.95,10.16,9.614996,98800,342400000000,11056400000,31949777,0,0,0,0.1586798,0.2457,0.033,0.002,0.032,1685.300049,53.84,63.27
14-02-2019,10.18,10.18,9.93,10,9.46358,144600,342400000000,11056400000,31949777,0,0,0,0.1586798,0.246033,0.033,0.002,0.0319,1689.060059,54.4,64
15-02-2019,10.14,10.16,9.98,9.98,9.444651,167000,342400000000,11056400000,31949777,0,0,0,0.1586798,0.245549,0.033,0.002,0.0319,1688.829956,55.58,65.65
18-02-2019,10.08,10.12,9.96,9.99,9.454114,47500,342400000000,11056400000,31949777,0,0,0,0.1586798,0.24496,0.033,0.002,0.032,1692.73999,,66.41
19-02-2019,9.96,9.99,9.94,9.95,9.416261,232000,342400000000,11056400000,31949777,0,0,0,0.1586798,0.24526,0.033,0.002,0.0318,1706.560059,56.12,65.86
20-02-2019,9.99,10.14,9.95,10.14,9.596069,190600,342400000000,11056400000,31949777,0,0,0,0.1586798,0.2452,0.033,0.002,0.0325,1726.180054,56.9,66.82
21-02-2019,10.04,10.44,10.04,10.22,9.671779,376600,342400000000,11056400000,31949777,0,0,0,0.1586798,0.246063,0.033,0.002,0.0324,1730.680054,56.95,66.91
22-02-2019,10.08,10.12,9.9,10,9.46358,499100,342400000000,11056400000,31949777,0,0,0,0.1586798,0.245308,0.033,0.002,0.0319,1721.420044,57.01,66.91
25-02-2019,10,10,9.8,9.85,9.321625,561500,342400000000,11056400000,31949777,0,0,0,0.1586798,0.245339,0.033,0.002,0.0325,1724.579956,55.32,64.02
